Dovre;;false;OSL;HMR;LHM;DOM;OPD;STØ;LMO;SØB;MSK;HMD;TND
Rauma;;true;ÅND;DOM;LHM
Nor;;false;TND;ROT;RHM;HEL;STK;FAU;BO
Röros;;false;HMR;ROS;TND;ROT;RHM
Trönde;;false;LRK;SVN;TND;ROT;RHM;HEL;STK
Mer;;false;SØB;TND;STR
Trönde;;false;STØ;TND;STK
